Letra,Color,Número,RGB
A,Negro,1,"[0, 0, 0]"
B,Gris oscuro,2,"[115, 116, 115]"
C,Gris claro,3,"[160, 160, 160]"
D,Beige,4,"[155, 144, 114]"
E,Beige oscuro,5,"[143, 131, 97]"
F,Vasija,6,"[148, 128, 108]"
G,Teja,7,"[150, 75, 45]"
H,Marron,8,"[37, 73, 141]"
I,Granate,9,"[128, 0, 32]"
J,Rojo,10,"[255, 0, 0]"
K,Naranja,11,"[255, 165, 0]"
L,Pure de calabaza,12,"[237, 145, 33]"
M,Amarillo,13,"[255, 255, 0]"
N,Pistacho,14,"[147, 197, 114]"
Ñ,Verde,15,"[0, 255, 0]"
O,Verde vidrio,16,"[144, 238, 144]"
P,Verde bosque,17,"[34, 139, 34]"
Q,Azul marino,18,"[0, 0, 128]"
R,Azul electrico,19,"[0, 0, 255]"
S,Azul cielo,20,"[135, 206, 250]"
T,Azul turquesa,21,"[64, 224, 208]"
U,Violeta,22,"[143, 0, 255]"
V,Morado,23,"[128, 0, 128]"
W,Rosa fucsia,24,"[255, 0, 255]"
X,Rosa,25,"[255, 192, 203]"
Y,Rosa chicle,26,"[255, 183, 197]"
Z,Blanco,27,"[255, 255, 255]"
