Letra,Color,Número,RGB
A,Negro,1,"[21, 21, 21]"
B,Gris oscuro,2,"[108, 110, 104]"
C,Gris claro,3,"[171, 173, 172]"
D,Beige,4,"[220, 188, 129]"
E,Beige oscuro,5,"[180, 132, 85]"
F,Vasija,6,"[169, 85, 0]"
G,Teja,7,"[173, 97, 64]"
H,Marron,8,"[148, 81, 72]"
I,Granate,9,"[135, 43, 23]"
J,Rojo,10,"[201, 26, 29]"
K,Naranja,11,"[255, 128, 20]"
L,Pure de calabaza,12,"[250, 156, 28]"
M,Amarillo,13,"[248, 241, 132]"
N,Pistacho,14,"[199, 210, 60]"
Ñ,Verde,15,"[0, 100, 0]"
O,Verde vidrio,16,"[0, 146, 71]"
P,Verde bosque,17,"[0, 74, 45]"
Q,Azul marino,18,"[27, 42, 52]"
R,Azul electrico,19,"[0, 87, 153]"
S,Azul cielo,20,"[0, 153, 212]"
T,Azul turquesa,21,"[63, 182, 158]"
U,Violeta,22,"[255, 213, 237]"
V,Morado,23,"[129, 0, 123]"
W,Rosa fucsia,24,"[199, 0, 57]"
X,Rosa,25,"[255, 105, 143]"
Y,Rosa chicle,26,"[252, 151, 172]"
Z,Blanco,27,"[255, 255, 255]"
